Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditBankAccountForBakery - Copy,Chrome 77.0.3865.90,,2019-10-09 12:40:34,2019-10-09 12:40:44,10.328s,ERROR
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/ReviewByEBCMethod,Chrome 77.0.3865.90,,2019-10-09 12:40:34,2019-10-09 12:40:35,0.666s,ERROR
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:35,2019-10-09 12:40:35,0.003s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:35,2019-10-09 12:40:35,0.000s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:35,2019-10-09 12:40:35,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-09 12:40:35,2019-10-09 12:40:35,0.015s,PASSED
ReqCode = file.readLines(),Chrome 77.0.3865.90,,2019-10-09 12:40:35,2019-10-09 12:40:35,0.024s,ERROR
,,,,,,
Test Cases/Reusable/Assertion/ReqOperationAssertionMethod,Chrome 77.0.3865.90,,2019-10-09 12:40:35,2019-10-09 12:40:38,2.744s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
ReqCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
ReqCode = file.readLines(),Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.016s,PASSED
"Query = ""SELECT REQ_OPERATION FROM REQUESTS WHERE REQ_CODE = "" + ""'"" + ""ReqCode"" + ""'""",Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
"ExpectedResult = ""UPD""",Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:36,0.000s,PASSED
"dataBaseConnection.ExecuteOracleQueryWithExpectedResult.conectsql(""SupplyCard"", ""smart999"", Query, ExpectedResult)",Chrome 77.0.3865.90,,2019-10-09 12:40:36,2019-10-09 12:40:38,2.110s,PASSED
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,Chrome 77.0.3865.90,,2019-10-09 12:40:38,2019-10-09 12:40:39,1.568s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,2019-10-09 12:40:38,2019-10-09 12:40:39,1.298s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByCommodityAuthorityEmployeeMethod,Chrome 77.0.3865.90,,2019-10-09 12:40:39,2019-10-09 12:40:40,0.526s,FAILED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-09 12:40:40,2019-10-09 12:40:40,0.202s,FAILED
,,,,,,
Test Cases/General/OpenMethods/OpenReviewTheCreationModificationofTheBankAccountForBakeryMethod,Chrome 77.0.3865.90,,2019-10-09 12:40:40,2019-10-09 12:40:40,0.361s,FAILED
