Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateBankAccountForBakery,Chrome 74.0.3729.169,,2019-09-26 10:22:48,2019-09-26 10:27:21,4m - 32.821s,FAILED
,,,,,,
Test Cases/General/GetData/AddBakeryBankAccountGetData,Chrome 74.0.3729.169,,2019-09-26 10:22:49,2019-09-26 10:22:54,4.820s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:22:49,2019-09-26 10:22:49,0.037s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:22:49,2019-09-26 10:22:49,0.018s,PASSED
"Query = ""select * from base_bakery where BAKERY_CODE not in (select bakery_code from bakery_ach_data) and base_bakery.governorate_code=03""",Chrome 74.0.3729.169,,2019-09-26 10:22:49,2019-09-26 10:22:49,0.000s,PASSED
println(Query),Chrome 74.0.3729.169,,2019-09-26 10:22:49,2019-09-26 10:22:49,0.016s,PASSED
"dataBaseConnection.GetOracleQueryResult.conectsql(""bdistribute"", ""12345678"", Query, ""C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt"")",Chrome 74.0.3729.169,,2019-09-26 10:22:49,2019-09-26 10:22:52,2.451s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidUserName.txt),Chrome 74.0.3729.169,,2019-09-26 10:22:52,2019-09-26 10:22:52,0.000s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 74.0.3729.169,,2019-09-26 10:22:52,2019-09-26 10:22:53,1.290s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidPassword.txt),Chrome 74.0.3729.169,,2019-09-26 10:22:53,2019-09-26 10:22:53,0.001s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 74.0.3729.169,,2019-09-26 10:22:53,2019-09-26 10:22:53,0.097s,PASSED
