Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateBankAccountForBakery,Chrome 74.0.3729.169,,2019-09-26 10:12:32,2019-09-26 10:16:47,4m - 15.257s,ERROR
,,,,,,
Test Cases/General/GetData/AddBakeryBankAccountGetData,Chrome 74.0.3729.169,,2019-09-26 10:12:33,2019-09-26 10:12:37,4.390s,ERROR
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:12:33,2019-09-26 10:12:33,0.002s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:12:33,2019-09-26 10:12:33,0.000s,PASSED
"Query = ""select * from base_bakery where BAKERY_CODE not in (select bakery_code from bakery_ach_data) and base_bakery.governorate_code=03""",Chrome 74.0.3729.169,,2019-09-26 10:12:33,2019-09-26 10:12:33,0.000s,PASSED
println(Query),Chrome 74.0.3729.169,,2019-09-26 10:12:33,2019-09-26 10:12:34,0.049s,PASSED
"dataBaseConnection.GetOracleQueryResult.conectsql(""bdistribute"", ""12345678"", Query, ""C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt"")",Chrome 74.0.3729.169,,2019-09-26 10:12:34,2019-09-26 10:12:37,3.270s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidUserName.txt),Chrome 74.0.3729.169,,2019-09-26 10:12:37,2019-09-26 10:12:37,0.001s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 74.0.3729.169,,2019-09-26 10:12:37,2019-09-26 10:12:37,0.300s,ERROR
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/DeleteAllReqBySpecificNID,Chrome 74.0.3729.169,,2019-09-26 10:12:37,2019-09-26 10:12:38,1.314s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:12:38,2019-09-26 10:12:38,0.000s,PASSED
"Query = ""begin for ch in (select REQ_CODE from REQ_BAKERY_ACH_DATA  where ACC_OWNER_NID='28502063200094') loop  delete   REQ_ACTIVITY where REQ_CODE =ch.REQ_CODE ; delete from REQ_BAKERY_ACH_DATA where REQ_CODE = ch.REQ_CODE; delete from REQUESTS   where REQ_CODE = ch.REQ_CODE;commit; end loop; end;""",Chrome 74.0.3729.169,,2019-09-26 10:12:38,2019-09-26 10:12:38,0.000s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",Chrome 74.0.3729.169,,2019-09-26 10:12:38,2019-09-26 10:12:38,0.955s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,Chrome 74.0.3729.169,,2019-09-26 10:12:38,2019-09-26 10:13:05,26.367s,ERROR
"openBrowser("""")",Chrome 74.0.3729.169,,2019-09-26 10:12:39,2019-09-26 10:12:49,10.552s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:12:49,2019-09-26 10:13:04,14.191s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-09-26 10:13:04,2019-09-26 10:13:05,1.193s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 74.0.3729.169,,2019-09-26 10:13:05,2019-09-26 10:13:05,0.067s,ERROR
,,,,,,
Test Cases/General/OpenMethods/OpenCreateModifyBankAccountForBakeryTabMethod,Chrome 74.0.3729.169,,2019-09-26 10:13:05,2019-09-26 10:13:16,11.393s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/manager/EditBakeryAccount.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:13:05,2019-09-26 10:13:16,11.145s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/SearchForBakeryCodeByDirectorateEmployee,Chrome 74.0.3729.169,,2019-09-26 10:13:16,2019-09-26 10:13:17,0.269s,ERROR
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:17,0.003s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt),Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:17,0.000s,PASSED
BakeryDosenotHaveBankAccount = file.readLines(),Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:17,0.000s,ERROR
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/EnterValidBankAccData,Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:49,32.533s,FAILED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:17,0.000s,PASSED
FileText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:17,0.000s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span__ui-icon ui-icon-triangle-1-s ui-c_1-Select""))",Chrome 74.0.3729.169,,2019-09-26 10:13:17,2019-09-26 10:13:49,32.205s,FAILED
,,,,,,
Test Cases/Reusable/Assertion/BankAccCreatingSuccessfulyAssertionMethod,Chrome 74.0.3729.169,,2019-09-26 10:13:49,2019-09-26 10:14:21,32.335s,FAILED
"click(findTestObject(""BankAccDataField/Page_ (1)/span_   791""))",Chrome 74.0.3729.169,,2019-09-26 10:13:49,2019-09-26 10:14:21,31.980s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/ReviewByEBCMethod,Chrome 74.0.3729.169,,2019-09-26 10:14:21,2019-09-26 10:14:22,0.335s,ERROR
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:22,0.000s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:22,0.000s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:22,0.015s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:22,0.000s,PASSED
ReqCode = file.readLines(),Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:22,0.000s,ERROR
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:23,1.007s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-09-26 10:14:22,2019-09-26 10:14:23,0.771s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByCommodityAuthorityEmployeeMethod,Chrome 74.0.3729.169,,2019-09-26 10:14:23,2019-09-26 10:14:40,17.156s,ERROR
"openBrowser("""")",Chrome 74.0.3729.169,,2019-09-26 10:14:23,2019-09-26 10:14:28,4.983s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:14:28,2019-09-26 10:14:39,10.689s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-09-26 10:14:39,2019-09-26 10:14:40,1.137s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(9, 1))",Chrome 74.0.3729.169,,2019-09-26 10:14:40,2019-09-26 10:14:40,0.024s,ERROR
,,,,,,
Test Cases/General/OpenMethods/OpenReviewTheCreationModificationofTheBankAccountForBakeryMethod,Chrome 74.0.3729.169,,2019-09-26 10:14:40,2019-09-26 10:14:49,9.038s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/commodityAuth/EditBakeryAccountAudit.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:14:40,2019-09-26 10:14:49,8.763s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/SearchForBakeryCodeByCommodityEmployee,Chrome 74.0.3729.169,,2019-09-26 10:14:49,2019-09-26 10:14:49,0.292s,ERROR
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt),Chrome 74.0.3729.169,,2019-09-26 10:14:49,2019-09-26 10:14:49,0.001s,PASSED
