Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/manager/EditBakeryAccount.jsf"")",Chrome 77.0.3865.90,,2019-10-10 11:03:14,2019-10-10 11:03:15,0.880s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/SearchForBakeryCodeByCommodityEmployee-Edit,Chrome 77.0.3865.90,,2019-10-10 11:03:15,2019-10-10 11:03:16,0.869s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BakeryHaveBankAccount.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:16,2019-10-10 11:03:16,0.001s,PASSED
BakeryHaveBankAccount = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:16,2019-10-10 11:03:16,0.014s,PASSED
"BakeryHaveBankAccount = BakeryHaveBankAccount.replaceAll(""[^\d]"", """")",Chrome 77.0.3865.90,,2019-10-10 11:03:16,2019-10-10 11:03:16,0.009s,PASSED
"setText(findTestObject(""ReviewAddBankAcc/Page_/Review-BakeryCodeSearchField""), BakeryHaveBankAccount)",Chrome 77.0.3865.90,,2019-10-10 11:03:16,2019-10-10 11:03:16,0.249s,PASSED
"click(findTestObject(""ReviewAddBankAcc/Page_/Review-SearchButton""))",Chrome 77.0.3865.90,,2019-10-10 11:03:16,2019-10-10 11:03:16,0.170s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/EditValidBankAccData,Chrome 77.0.3865.90,,2019-10-10 11:03:16,2019-10-10 11:03:21,4.305s,FAILED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:17,2019-10-10 11:03:17,0.002s,PASSED
FileText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:17,2019-10-10 11:03:17,0.001s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span__ui-icon ui-icon-triangle-1-s ui-c_1-Select""))",Chrome 77.0.3865.90,,2019-10-10 11:03:17,2019-10-10 11:03:17,0.660s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/li_   -""))",Chrome 77.0.3865.90,,2019-10-10 11:03:17,2019-10-10 11:03:18,0.238s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/div__ui-SelectBranch""), CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-10 11:03:18,2019-10-10 11:03:19,1.047s,FAILED
"click(findTestObject(""BankAccDataField/Page_ (1)/li_ (DokkiBranch)""), CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:19,0.194s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/div__ui-SelectBranch""))",Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:19,0.174s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccNumber.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:19,0.001s,PASSED
FileText = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:19,0.002s,PASSED
"setText(findTestObject(""CreateMdifyBankAcc/Page_/input_ _formj_idt37j_idt55""), toString().replaceAll(""\p{P}"", """"))",Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:19,0.355s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccName.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:19,0.001s,PASSED
"setText(findTestObject(""BankAccDataField/Page_ (1)/input_ _formj_idt37j_idt57""), toString().replaceAll(""\p{P}"", """"))",Chrome 77.0.3865.90,,2019-10-10 11:03:19,2019-10-10 11:03:20,0.360s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\NIDNumber.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:20,2019-10-10 11:03:20,0.000s,PASSED
"setText(findTestObject(""BankAccDataField/Page_ (1)/input_   _formj_idt37j_idt59""), toString().replaceAll(""\p{P}"", """"))",Chrome 77.0.3865.90,,2019-10-10 11:03:20,2019-10-10 11:03:20,0.298s,PASSED
"setText(findTestObject(""BankAccDataField/Page_ (1)/textarea_ _formj_idt37j_idt61""), ""ملاحظات"", CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-10 11:03:20,2019-10-10 11:03:20,0.276s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span__1""))",Chrome 77.0.3865.90,,2019-10-10 11:03:20,2019-10-10 11:03:21,0.135s,FAILED
,,,,,,
