Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditBankAccountForBakery - Copy,,,2019-10-09 12:42:42,2019-10-09 12:42:51,9.626s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/ReviewByEBCMethod,,,2019-10-09 12:42:42,2019-10-09 12:42:46,3.292s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.003s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.000s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ReqCode.txt),,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.000s,PASSED
ReqCode = file.readLines(),,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.025s,PASSED
"ReqCode = ReqCode.replaceAll(""\p{P}"", """")",,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.015s,PASSED
"Query = "" UPDATE requests SET EBC_REVIEW_STATUS = 2 WHERE REQ_CODE ="" + ""'"" + ReqCode + ""'""",,,2019-10-09 12:42:43,2019-10-09 12:42:43,0.000s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",,,2019-10-09 12:42:43,2019-10-09 12:42:45,2.042s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BankAccountReviewStatus.txt),,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.002s,PASSED
"file.write(""تمت المراجعة"")",,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.000s,PASSED
"Query = "" UPDATE requests SET EBC_CHK_Name = 1 WHERE REQ_CODE ="" + ""'"" + ReqCode + ""'""",,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.000s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.287s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountNameReview.txt),,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.000s,PASSED
"file.write(""صحيح"")",,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.000s,PASSED
"Query = "" UPDATE requests SET EBC_CHK_ACCNUM = 1 WHERE REQ_CODE ="" + ""'"" + ReqCode + ""'""",,,2019-10-09 12:42:45,2019-10-09 12:42:45,0.000s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",,,2019-10-09 12:42:45,2019-10-09 12:42:46,0.275s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountnumberReview.txt),,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.001s,PASSED
"file.write(""صحيح"")",,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
,,,,,,
Test Cases/Reusable/Assertion/ReqOperationAssertionMethod,,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.762s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.001s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
ReqCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
ReqCode = file.readLines(),,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
"Query = ""SELECT REQ_OPERATION FROM REQUESTS WHERE REQ_CODE = "" + ""'"" + ""ReqCode"" + ""'""",,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
"ExpectedResult = ""UPD""",,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.000s,PASSED
"dataBaseConnection.ExecuteOracleQueryWithExpectedResult.conectsql(""SupplyCard"", ""smart999"", Query, ExpectedResult)",,,2019-10-09 12:42:46,2019-10-09 12:42:46,0.441s,PASSED
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,,,2019-10-09 12:42:46,2019-10-09 12:42:47,0.867s,PASSED
closeBrowser(),,,2019-10-09 12:42:47,2019-10-09 12:42:47,0.514s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByCommodityAuthorityEmployeeMethod,,,2019-10-09 12:42:47,2019-10-09 12:42:48,0.457s,FAILED
"openBrowser("""")",,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.049s,FAILED
,,,,,,
Test Cases/General/OpenMethods/OpenReviewTheCreationModificationofTheBankAccountForBakeryMethod,,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.290s,FAILED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/commodityAuth/EditBakeryAccountAudit.jsf"")",,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.032s,FAILED
,,,,,,
Test Cases/Reusable/Assertion/ReviewBankAccountCreationByCommunityEmployeeAssertionMethod,,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.416s,FAILED
SplitArrResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.000s,PASSED
FileData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.000s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.000s,PASSED
today = new java.util.Date(),,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.000s,PASSED
"click(findTestObject(""DynamicWebTables/DynamicWebRow""))",,,2019-10-09 12:42:48,2019-10-09 12:42:48,0.079s,FAILED
,,,,,,
Test Cases/General/OpenMethods/OpenBankAccDetailsScreenByCommunityEmpMethod,,,2019-10-09 12:42:48,2019-10-09 12:42:49,0.398s,FAILED
"click(findTestObject(""ReviewAddBankAcc/Page_/DetailsButton""))",,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.033s,FAILED
,,,,,,
Test Cases/Reusable/Assertion/AssertOnEBCActionByCommunityEmployeeMethod,,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.613s,FAILED
EBCTableData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.015s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BankAccountReviewStatus.txt),,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.000s,PASSED
BankAccountReviewstatus = file.readLines(),,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountNameReview.txt),,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.000s,PASSED
ActualAccountNameStatus = file.readLines(),,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.016s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountnumberReview.txt),,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.000s,PASSED
ActualAccountNumberStatus = file.readLines(),,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.016s,PASSED
"EBCTableData = getText(findTestObject(""ReviewAddBankAcc/Page_/TableConfirmationData""))",,,2019-10-09 12:42:49,2019-10-09 12:42:49,0.047s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/AcceptBankAccRequestByCommunityEmpMethod,,,2019-10-09 12:42:49,2019-10-09 12:42:50,0.418s,FAILED
"click(findTestObject(""ReviewAddBankAcc/Page_/AcceptButton""))",,,2019-10-09 12:42:50,2019-10-09 12:42:50,0.018s,FAILED
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,,,2019-10-09 12:42:50,2019-10-09 12:42:50,0.031s,PASSED
closeBrowser(),,,2019-10-09 12:42:50,2019-10-09 12:42:50,0.015s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,,,2019-10-09 12:42:50,2019-10-09 12:42:50,0.344s,FAILED
"openBrowser("""")",,,2019-10-09 12:42:50,2019-10-09 12:42:50,0.015s,FAILED
,,,,,,
Test Cases/General/OpenMethods/OpenCreateModifyBankAccountForBakeryTabMethod,,,2019-10-09 12:42:50,2019-10-09 12:42:51,0.359s,FAILED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/manager/EditBakeryAccount.jsf"")",,,2019-10-09 12:42:51,2019-10-09 12:42:51,0.015s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/SearchForBakeryCodeByCommodityEmployee-Edit,,,2019-10-09 12:42:51,2019-10-09 12:42:51,0.478s,FAILED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BakeryHaveBankAccount.txt),,,2019-10-09 12:42:51,2019-10-09 12:42:51,0.007s,PASSED
BakeryHaveBankAccount = file.readLines(),,,2019-10-09 12:42:51,2019-10-09 12:42:51,0.001s,PASSED
"BakeryHaveBankAccount = BakeryHaveBankAccount.replaceAll(""[^\d]"", """")",,,2019-10-09 12:42:51,2019-10-09 12:42:51,0.000s,PASSED
