Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:41:19,2019-09-26 10:41:19,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt),Chrome 74.0.3729.169,,2019-09-26 10:41:19,2019-09-26 10:41:19,0.001s,PASSED
BakeryDosenotHaveBankAccount = file.readLines(),Chrome 74.0.3729.169,,2019-09-26 10:41:19,2019-09-26 10:41:19,0.013s,PASSED
println(BakeryDosenotHaveBankAccount),Chrome 74.0.3729.169,,2019-09-26 10:41:19,2019-09-26 10:41:19,0.001s,PASSED
"setText(findTestObject(""Object Repository/CreateMdifyBankAcc/Page_/input_ _formj_idt33""), BakeryDosenotHaveBankAccount)",Chrome 74.0.3729.169,,2019-09-26 10:41:19,2019-09-26 10:41:52,32.828s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/EnterValidBankAccData,Chrome 74.0.3729.169,,2019-09-26 10:41:52,2019-09-26 10:42:24,32.594s,FAILED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:41:52,2019-09-26 10:41:52,0.002s,PASSED
FileText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:41:52,2019-09-26 10:41:52,0.002s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span__ui-icon ui-icon-triangle-1-s ui-c_1-Select""))",Chrome 74.0.3729.169,,2019-09-26 10:41:52,2019-09-26 10:42:24,32.260s,FAILED
,,,,,,
Test Cases/Reusable/Assertion/BankAccCreatingSuccessfulyAssertionMethod,Chrome 74.0.3729.169,,2019-09-26 10:42:24,2019-09-26 10:42:57,32.398s,FAILED
"click(findTestObject(""BankAccDataField/Page_ (1)/span_   791""))",Chrome 74.0.3729.169,,2019-09-26 10:42:25,2019-09-26 10:42:57,32.124s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/ReviewByEBCMethod,Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:57,0.436s,ERROR
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:57,0.002s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:57,0.001s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:57,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:57,0.001s,PASSED
ReqCode = file.readLines(),Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:57,0.003s,ERROR
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:58,1.138s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-09-26 10:42:57,2019-09-26 10:42:58,0.900s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByCommodityAuthorityEmployeeMethod,Chrome 74.0.3729.169,,2019-09-26 10:42:58,2019-09-26 10:43:09,10.917s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-09-26 10:42:59,2019-09-26 10:43:02,3.149s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:43:02,2019-09-26 10:43:05,2.934s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-09-26 10:43:05,2019-09-26 10:43:06,1.185s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(9, 1))",Chrome 74.0.3729.169,,2019-09-26 10:43:06,2019-09-26 10:43:06,0.275s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_/input__password""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(10, 1))",Chrome 74.0.3729.169,,2019-09-26 10:43:06,2019-09-26 10:43:06,0.278s,PASSED
"click(findTestObject(""Object Repository/Login/Page_/span_""))",Chrome 74.0.3729.169,,2019-09-26 10:43:06,2019-09-26 10:43:09,2.773s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenReviewTheCreationModificationofTheBankAccountForBakeryMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:09,2019-09-26 10:43:12,2.813s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/commodityAuth/EditBakeryAccountAudit.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:43:10,2019-09-26 10:43:12,2.421s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/SearchForBakeryCodeByCommodityEmployee,Chrome 74.0.3729.169,,2019-09-26 10:43:12,2019-09-26 10:43:44,32.005s,FAILED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt),Chrome 74.0.3729.169,,2019-09-26 10:43:12,2019-09-26 10:43:12,0.001s,PASSED
BakeryDosenotHaveBankAccount = file.readLines(),Chrome 74.0.3729.169,,2019-09-26 10:43:12,2019-09-26 10:43:12,0.003s,PASSED
"setText(findTestObject(""ReviewAddBankAcc/Page_/Review-BakeryCodeSearchField""), BakeryDosenotHaveBankAccount)",Chrome 74.0.3729.169,,2019-09-26 10:43:12,2019-09-26 10:43:44,31.543s,FAILED
,,,,,,
